movie_name,genre,number_different_values
Sleeping Beauty,"[['Adventure, Fantasy, Horror'], ['Drama, Mystery, Romance'], ['Animation, Adventure, Family'], ['Family, Fantasy, Musical'], ['Family, Fantasy, Romance'], ['Drama, Fantasy, Romance'], ['Fantasy, Romance'], ['Animation, Adventure, Family'], ['Family, Fantasy, Musical'], ['Family, Fantasy'], ['Family, Fantasy, Romance'], ['Family, Fantasy, Musical'], ['Family, Fantasy'], ['Adventure, Family, Fantasy'], ['Animation, Adventure, Family'], ['Animation'], ['Drama, Mystery, Romance'], ['Animation, Adventure, Family'], ['Adventure, Fantasy, Horror'], ['Action, Adventure, Drama'], ['Adventure, Fantasy'], ['Adventure, Family, Fantasy'], ['Animation, Adventure, Family'], ['Adventure, Fantasy, Horror'], ['Family, Fantasy, Musical'], ['Action, Adventure, Drama'], ['Comedy, Drama, Fantasy'], ['Adventure, Fantasy'], ['Comedy, Fantasy'], ['Family, Fantasy'], ['Family, Fantasy, Romance'], ['Family, Fantasy, Musical'], ['Drama, Fantasy, Romance'], ['Family, Fantasy'], ['Fantasy'], ['Fantasy'], ['Fantasy, Romance'], ['Adventure, Family, Fantasy'], ['Action, Adventure, Drama'], ['Drama, Mystery, Romance']]",15
The Other Side,"[['Action, Crime, Drama'], ['Crime'], ['Crime, Mystery, Thriller'], ['Action, Crime'], ['Drama, Horror, Thriller'], ['Horror, Mystery, Thriller'], ['Comedy, Drama, Romance'], ['Drama, Romance'], ['Family, Fantasy'], ['Crime, Mystery, Thriller'], ['Drama, Mystery, Thriller'], ['Horror, Mystery, Thriller'], ['Sci-Fi'], ['Sci-Fi'], ['Family, Fantasy'], ['Fantasy'], ['Action, Thriller'], ['Action, Crime, Drama'], ['Action, Crime'], ['Action, Thriller'], ['Drama, Horror, Thriller'], ['Drama, Thriller'], ['Action, Crime, Drama'], ['Thriller'], ['Thriller'], ['Crime, Mystery, Thriller'], ['Drama, Mystery, Thriller'], ['Thriller'], ['Horror, Mystery, Thriller']]",15
Home,"[['Crime, Drama'], ['Drama, Horror, Thriller'], ['Horror'], ['Drama, Horror, Mystery'], ['Horror'], ['Action, History, War'], ['Comedy, Drama, Romance'], ['Drama, Romance, Thriller'], ['Comedy, Romance'], ['Drama, Romance'], ['Animation, Adventure, Comedy'], ['Drama, Family'], ['Animation, Adventure, Comedy'], ['Drama, Mystery, Thriller'], ['Drama, Horror, Mystery'], ['Sport'], ['Sport'], ['Animation, Adventure, Comedy'], ['Animation, Adventure, Comedy'], ['Animation, Adventure, Comedy'], ['Fantasy'], ['Action, History, War'], ['Action'], ['Action, History, War'], ['Drama, Horror, Thriller'], ['Drama, Mystery, Thriller'], ['Drama, Romance, Thriller']]",15
Dead End,"[['Crime, Drama, Film-Noir'], ['Crime, Thriller, Drama'], ['Crime, Mystery'], ['Crime, Drama'], ['Crime, Thriller'], ['Adventure, Crime'], ['Adventure, Horror, Mystery'], ['Comedy, Horror, Thriller'], ['Horror, Thriller'], ['Horror, Thriller'], ['Horror'], ['Horror'], ['Crime, Drama, Film-Noir'], ['Drama, Mystery, Romance'], ['Crime, Drama, Film-Noir'], ['Adventure, Horror, Mystery'], ['Drama, Mystery, Romance'], ['Crime, Mystery'], ['Music, Mystery, Thriller'], ['Adventure, Horror, Mystery'], ['Adventure, Crime'], ['Action, Drama, Thriller'], ['Action, Thriller'], ['Adventure, Horror, Mystery'], ['Comedy, Horror, Thriller'], ['Horror, Thriller'], ['Action, Drama, Thriller'], ['Crime, Thriller, Drama'], ['Horror, Thriller'], ['Thriller'], ['Crime, Thriller'], ['Music, Mystery, Thriller'], ['Thriller'], ['Action, Thriller']]",15
The Return,"[['Action, Crime, Drama'], ['Crime, Mystery, Thriller'], ['Horror, Mystery, Thriller'], ['Horror, Sci-Fi'], ['Horror'], ['Horror, Mystery, Thriller'], ['Horror'], ['History'], ['Animation, Drama, History'], ['Romance'], ['Drama, Family'], ['Drama, Family'], ['Animation, Drama, History'], ['Horror, Mystery, Thriller'], ['Mystery, Sci-Fi, Thriller'], ['Horror, Mystery, Thriller'], ['Crime, Mystery, Thriller'], ['Adventure'], ['Horror, Sci-Fi'], ['Mystery, Sci-Fi, Thriller'], ['Sci-Fi'], ['War'], ['Action, Crime, Drama'], ['Horror, Mystery, Thriller'], ['Mystery, Sci-Fi, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Drama, Thriller'], ['Horror, Mystery, Thriller'], ['Crime, Mystery, Thriller']]",15
Retribution,"[['Action, Crime, Drama'], ['Crime, Drama, Thriller'], ['Crime'], ['Crime, Drama, Mystery'], ['Crime, Mystery'], ['Crime'], ['Crime, Drama'], ['Crime, Drama, Mystery'], ['Horror, Mystery'], ['Horror, Mystery, Thriller'], ['Action, Horror'], ['Drama, Fantasy, Romance'], ['Horror, Mystery'], ['Horror, Mystery, Thriller'], ['Crime, Drama, Mystery'], ['Crime, Mystery'], ['Crime, Drama, Mystery'], ['Drama, Fantasy, Romance'], ['Action, Thriller'], ['Action, Crime, Drama'], ['Action'], ['Action'], ['Action, Drama, Thriller'], ['Action'], ['Action'], ['Action'], ['Action'], ['Action'], ['Action, Horror'], ['Action'], ['Action, Drama, Thriller'], ['Action, Thriller'], ['Action, Crime, Drama'], ['Horror, Mystery, Thriller'], ['Crime, Drama, Thriller'], ['Thriller'], ['Thriller'], ['Thriller'], ['Action, Drama, Thriller'], ['Thriller'], ['Drama, Thriller'], ['Thriller'], ['Action, Drama, Thriller'], ['Crime, Drama, Mystery']]",15
Underground,"[['Crime'], ['Action, Crime'], ['Crime, Thriller'], ['Action, Crime, Drama'], ['Horror'], ['Horror'], ['Horror, Thriller'], ['Drama, Romance'], ['Adventure, Drama, Romance'], ['Comedy, Drama, Romance'], ['Adventure, Drama, Romance'], ['Comedy, Drama, Fantasy'], ['Comedy, Drama, Fantasy'], ['Adventure, Drama, Romance'], ['Drama, Thriller, War'], ['Action'], ['Action, Drama'], ['Action, Crime'], ['Action'], ['Action, Crime, Drama'], ['Drama, Thriller, War'], ['Thriller'], ['Crime, Thriller'], ['Action, Crime, Drama'], ['Horror, Thriller'], ['Thriller']]",14
Sacrifice,"[['Crime, Horror, Mystery'], ['Crime'], ['Horror, Mystery, Thriller'], ['Crime, Horror, Mystery'], ['Horror'], ['Horror, Sci-Fi'], ['Drama, History'], ['Adventure, Drama, Romance'], ['Drama, Romance'], ['Drama, Family'], ['Horror, Mystery, Thriller'], ['Crime, Horror, Mystery'], ['Adventure, Drama, Romance'], ['Horror, Sci-Fi'], ['Sci-Fi'], ['Adventure, Drama, Romance'], ['Drama, War'], ['Action, Thriller'], ['Horror, Mystery, Thriller'], ['Crime, Horror, Mystery'], ['Action, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Thriller']]",14
The Deal,"[['Crime, Drama, Thriller'], ['Crime, Drama, Mystery'], ['Action, Crime, Drama'], ['Crime, Drama'], ['Comedy, Romance'], ['Romance'], ['Crime, Drama, Mystery'], ['News, Sport, Talk-Show'], ['Action, Adventure, Drama'], ['Sci-Fi, Thriller'], ['Action, Sci-Fi'], ['Action, Crime, Drama'], ['Action, Thriller'], ['Action, Adventure, Drama'], ['Action, Sci-Fi'], ['Action, Drama'], ['Sci-Fi, Thriller'], ['Drama, Thriller'], ['Crime, Drama, Thriller'], ['Crime, Drama, Mystery'], ['Action, Crime, Drama'], ['Action, Thriller'], ['Action, Adventure, Drama'], ['Thriller']]",14
The Stranger,"[['Crime, Drama, Thriller'], ['Crime, Drama, Film-Noir'], ['Crime, Thriller'], ['Crime, Drama'], ['Crime, Thriller'], ['Horror'], ['Drama, Horror, Mystery'], ['Drama, Fantasy, Mystery'], ['Crime, Drama, Film-Noir'], ['Crime, Drama, Film-Noir'], ['Drama, Horror, Mystery'], ['Drama, Mystery, Thriller'], ['Drama, Fantasy, Mystery'], ['Drama, Mystery, Thriller'], ['Drama, Music, Mystery'], ['Adventure, Drama, Sci-Fi'], ['Action, Adventure, Western'], ['Adventure, Drama, Sci-Fi'], ['Action, Drama, Fantasy'], ['Drama, Fantasy, Mystery'], ['Action, Drama, Fantasy'], ['Action, Drama, Fantasy'], ['Action, Adventure, Western'], ['Crime, Drama, Thriller'], ['Crime, Drama, Film-Noir'], ['Drama, Horror, Mystery'], ['Drama, Mystery, Thriller'], ['Thriller'], ['Drama, Fantasy, Mystery'], ['Crime, Thriller'], ['Drama, Thriller'], ['Thriller'], ['Drama, Mystery, Thriller'], ['Crime, Thriller']]",14
