movie_name,movie_id,number_different_values
Escape,"[['tt11906536'], ['tt0032447'], ['tt8256474'], ['tt10370450'], ['tt0032447'], ['tt8425490'], ['tt11906536'], ['tt0032447'], ['tt8256474'], ['tt14950106'], ['tt2076850'], ['tt0099517'], ['tt7741194'], ['tt4401566'], ['tt4663758'], ['tt7741194'], ['tt4663758'], ['tt7962742'], ['tt16960452'], ['tt7961756'], ['tt2076850'], ['tt2147277'], ['tt26451068'], ['tt11906536'], ['tt15681172'], ['tt0040325'], ['tt7741194'], ['tt3599024'], ['tt12699550'], ['tt16960452'], ['tt7557358']]",21
Hero,"[['tt10329842'], ['tt4226970'], ['tt22506970'], ['tt0084065'], ['tt0104412'], ['tt0123102'], ['tt10329842'], ['tt4467202'], ['tt4760998'], ['tt1583266'], ['tt0250422'], ['tt0299977'], ['tt0084065'], ['tt0245942'], ['tt0084065'], ['tt0299977'], ['tt10329842'], ['tt10709232'], ['tt0123102'], ['tt11306518'], ['tt13986904'], ['tt4467202'], ['tt0136242'], ['tt4760998'], ['tt2429086'], ['tt19849244'], ['tt0245942'], ['tt19845928'], ['tt9476466'], ['tt10709232'], ['tt2429086'], ['tt22506970']]",20
No Man's Land,"[['tt0093638'], ['tt15686202'], ['tt1456660'], ['tt2488406'], ['tt3098406'], ['tt3299370'], ['tt7644852'], ['tt2083272'], ['tt0272217'], ['tt10449052'], ['tt1456660'], ['tt6044608'], ['tt0283509'], ['tt0056284'], ['tt0272217'], ['tt0251298'], ['tt7846482'], ['tt0009429'], ['tt5759256'], ['tt5648624'], ['tt10449052'], ['tt7701096'], ['tt6044608'], ['tt2083272'], ['tt0093638'], ['tt10449052'], ['tt15686202'], ['tt1456660'], ['tt9641640']]",20
Maya,"[['tt5037912'], ['tt8426666'], ['tt0157981'], ['tt4786222'], ['tt4805726'], ['tt9290928'], ['tt12630942'], ['tt6297258'], ['tt0137100'], ['tt0232066'], ['tt2783922'], ['tt13625920'], ['tt0271635'], ['tt0155865'], ['tt0060681'], ['tt9290928'], ['tt0137100'], ['tt11652546'], ['tt2783922'], ['tt0060681'], ['tt9290928'], ['tt11652546'], ['tt9290928'], ['tt11652546'], ['tt13137390'], ['tt5037912'], ['tt17050802'], ['tt4805726'], ['tt9290928'], ['tt4944704']]",19
Untitled Project,"[['tt10600872'], ['tt7526938'], ['tt8752456'], ['tt8846712'], ['tt8146812'], ['tt11378256'], ['tt15436012'], ['tt8219900'], ['tt8502832'], ['tt8232202'], ['tt8219900'], ['tt15095678'], ['tt8314766'], ['tt8193276'], ['tt8232202'], ['tt8195302'], ['tt8282594'], ['tt8219900'], ['tt10600872'], ['tt15095678'], ['tt12648762'], ['tt8314766'], ['tt8193276'], ['tt8232202'], ['tt8195302'], ['tt8282594'], ['tt8219900'], ['tt7434156'], ['tt8314766'], ['tt8193276'], ['tt8232202'], ['tt8195302'], ['tt8282594'], ['tt8219900'], ['tt10600872'], ['tt3761502'], ['tt8314766'], ['tt8193276'], ['tt8232202'], ['tt8195302'], ['tt8282594'], ['tt8219900'], ['tt15436012'], ['tt10600872'], ['tt12648762'], ['tt8314766'], ['tt8232202'], ['tt8195302'], ['tt8282594'], ['tt8219900'], ['tt8117060']]",19
The Return,"[['tt6100724'], ['tt4093816'], ['tt0433442'], ['tt8429394'], ['tt8933502'], ['tt4523246'], ['tt4215170'], ['tt19861162'], ['tt9653778'], ['tt14549854'], ['tt7123880'], ['tt5368500'], ['tt9653778'], ['tt0433442'], ['tt0081421'], ['tt4523246'], ['tt4093816'], ['tt4665626'], ['tt8429394'], ['tt0081421'], ['tt14360612'], ['tt13483534'], ['tt6100724'], ['tt0433442'], ['tt0081421'], ['tt4671306'], ['tt4356122'], ['tt15463040'], ['tt4523246'], ['tt4093816']]",19
Rage,"[['tt0114224'], ['tt0218920'], ['tt19388934'], ['tt1403987'], ['tt2015468'], ['tt1151923'], ['tt4384088'], ['tt0069158'], ['tt8796920'], ['tt2401807'], ['tt0188568'], ['tt0114224'], ['tt0109581'], ['tt19388934'], ['tt1403987'], ['tt13860086'], ['tt4384088'], ['tt2401807'], ['tt0060882'], ['tt8874764'], ['tt0069158'], ['tt0114224'], ['tt1151923'], ['tt0218920'], ['tt1403987'], ['tt5994486'], ['tt10028456'], ['tt7078360'], ['tt11534096']]",19
The Promise,"[['tt1795681'], ['tt7232438'], ['tt3756424'], ['tt0079756'], ['tt0949503'], ['tt1795681'], ['tt6825024'], ['tt10151626'], ['tt0008468'], ['tt2385536'], ['tt4776998'], ['tt1795681'], ['tt15457862'], ['tt0140275'], ['tt16163996'], ['tt16073660'], ['tt4776998'], ['tt4776998'], ['tt1795681'], ['tt6745888'], ['tt3910742'], ['tt7232438'], ['tt1795681'], ['tt6072400'], ['tt15245380'], ['tt6644380']]",19
The Other Side,"[['tt25393886'], ['tt1740822'], ['tt15350238'], ['tt1576701'], ['tt2921338'], ['tt9000546'], ['tt5335244'], ['tt18815600'], ['tt12809918'], ['tt15350238'], ['tt13924450'], ['tt9000546'], ['tt15522512'], ['tt7245420'], ['tt12809918'], ['tt13203612'], ['tt0393567'], ['tt25393886'], ['tt1576701'], ['tt0393567'], ['tt2921338'], ['tt24513558'], ['tt25393886'], ['tt10640564'], ['tt3527966'], ['tt15350238'], ['tt13924450'], ['tt3672712'], ['tt9000546']]",18
Dead End,"[['tt0028773'], ['tt0176646'], ['tt9139660'], ['tt0377750'], ['tt23064292'], ['tt0433901'], ['tt0308152'], ['tt0131260'], ['tt3521148'], ['tt1723108'], ['tt1339433'], ['tt19401408'], ['tt0028773'], ['tt0078893'], ['tt0028773'], ['tt0308152'], ['tt0078893'], ['tt9139660'], ['tt4475130'], ['tt0308152'], ['tt0433901'], ['tt0157515'], ['tt5813834'], ['tt0308152'], ['tt0131260'], ['tt3521148'], ['tt0157515'], ['tt0176646'], ['tt1723108'], ['tt0228190'], ['tt23064292'], ['tt4475130'], ['tt4532580'], ['tt5813834']]",18
