scores with drama: 
Metric      Genre  balanced_accuracy  precision    recall  genre_occurences
7         Fantasy           0.582134   0.298469  0.195489          0.036135
19        Western           0.570478   0.250000  0.146119          0.006611
8       Film-Noir           0.568405   0.076531  0.156250          0.005796
11          Music           0.556823   0.218605  0.132208          0.021464
12        Musical           0.537026   0.163934  0.088028          0.017147
 {'jaccard': 0.3514903574782382, 'hamming': 0.09278158720034019, 'precision': 0.4809768068179805, 'recall': 0.4433902088981024, 'at_least_one': 0.623239249455164, 'at_least_two': 0.09807048317652688, 'lemmatized': True}
scores without drama + (balanced_weights):
Metric      Genre  balanced_accuracy  precision    recall  genre_occurences
10         Horror           0.812187   0.598045  0.715336          0.090352
18            War           0.779880   0.436823  0.585484          0.018716
15         Sci-Fi           0.779870   0.505944  0.597368          0.034414
14        Romance           0.744741   0.497846  0.651719          0.112419
3       Biography           0.727848   0.470930  0.475771          0.020558
5           Crime           0.726745   0.432924  0.598912          0.088812
16          Sport           0.724924   0.476667  0.458333          0.009419
0          Action           0.720770   0.506060  0.598140          0.120117
6          Family           0.671505   0.327890  0.401600          0.037735
1       Adventure           0.671414   0.330404  0.456532          0.062157
2       Animation           0.663870   0.385260  0.347958          0.019954
9         History           0.663697   0.313970  0.354687          0.019320
17       Thriller           0.659567   0.399694  0.500137          0.110276
4          Comedy           0.656383   0.428630  0.503483          0.125672
13        Mystery           0.640703   0.240948  0.379044          0.042927
7         Fantasy           0.626904   0.265814  0.312448          0.036135
8       Film-Noir           0.619225   0.079389  0.270833          0.005796
19        Western           0.601527   0.261364  0.210046          0.006611
11          Music           0.582686   0.224793  0.191280          0.021464
12        Musical           0.569698   0.173184  0.163732          0.017147
{'jaccard': 0.35738239093365864, 'hamming': 0.1055839047467177, 'precision': 0.44162888883826534, 'recall': 0.5464749552614326, 'at_least_one': 0.7179609844256631, 'at_least_two': 0.183915377664381, 'lemmatized': True}
scores without drama + (balancing_ratio=0.5 & balanced_weights) + prune:
Metric      Genre  balanced_accuracy  precision    recall  genre_occurences
10         Horror           0.795903   0.618650  0.671319          0.091207
18            War           0.767480   0.447619  0.558574          0.018744
15         Sci-Fi           0.746303   0.555447  0.519743          0.034656
14        Romance           0.735613   0.499886  0.624286          0.111383
0          Action           0.711841   0.499543  0.579883          0.119912
5           Crime           0.707420   0.439548  0.543759          0.088725
3       Biography           0.682957   0.462745  0.381877          0.019667
16          Sport           0.679906   0.495413  0.366102          0.009388
1       Adventure           0.648560   0.329336  0.395984          0.061802
17       Thriller           0.645682   0.398465  0.461296          0.111001
6          Family           0.644300   0.344416  0.334992          0.038380
4          Comedy           0.643431   0.424413  0.471783          0.126882
9         History           0.629683   0.323017  0.279732          0.018999
13        Mystery           0.617651   0.240000  0.318584          0.043153
2       Animation           0.608476   0.323725  0.234727          0.019794
7         Fantasy           0.603643   0.256969  0.258545          0.036311
19        Western           0.584249   0.246575  0.174757          0.006556
8       Film-Noir           0.580935   0.074725  0.185792          0.005824
11          Music           0.554349   0.182773  0.131420          0.021067
12        Musical           0.544983   0.154696  0.107692          0.016548
 {'jaccard': 0.34700164960821805, 'hamming': 0.10294680013496794, 'precision': 0.44762949156718135, 'recall': 0.5026290630975143, 'at_least_one': 0.680969519739062, 'at_least_two': 0.1495332358564841, 'lemmatized': True}





